ProductoId;OperacionId;MonedaId;FechaInicio;FechaVencimiento;Tasa;Acuerdo;ETLDeleted;ETLTimestamp
2020-06-08;30685227440;300;124782;3;C2;80;2020-06-03;2020-06-09;0,2404;50000000;0;9164264230
2020-06-08;30687206432;320;124694;3;C1;80;2020-05-29;2020-06-28;0,5;3500000;0;9164264472
2020-06-08;30707432272;836;124850;3;C3;80;2020-06-05;2020-06-11;0,6;2000000;0;9164264514
2020-06-08;30701027074;966;124431;3;C3;80;2020-05-15;2020-06-15;0,6;60000000;0;9164264517
2020-06-08;30664155873;1077;124854;3;C3;80;2020-06-05;2020-07-05;0,6;9000000;0;9164264305
2020-06-09;33621743789;40;124692;3;C1;80;2020-05-29;2020-06-28;0,5;10000000;0;9164264288
2020-06-09;30531490866;196;124889;3;C3;80;2020-06-08;2020-07-07;0,6;3000000;0;9164264308
2020-06-09;30659401858;239;124789;3;C3;80;2020-06-03;2020-07-02;0,6;2000000;0;9164264299
2020-06-09;30663300993;256;124861;3;C3;80;2020-06-05;2020-07-05;0,6;8000000;0;9164264578
2020-06-09;30687206432;320;124695;3;C3;80;2020-05-29;2020-06-28;0,6;6500000;0;9164264473
2020-06-09;30691587777;348;124932;3;C3;80;2020-06-09;2020-06-15;0,6;50000000;0;9164264237
2020-06-09;30694246369;1017;124668;3;C1;80;2020-05-28;2020-06-28;0,5;1000000;0;9164264550
2020-06-09;30710630670;1813;124929;3;C3;80;2020-06-09;2020-06-11;0,6;20000000;0;9164264209
2020-06-09;30708398760;2727;124886;3;C1;80;2020-06-08;2020-07-02;0,5;1000000;0;9164264311
2020-06-09;30714522058;3418;124809;3;C2;80;2020-06-04;2020-06-10;0,2345;20000000;0;9164264492
2020-06-09;30715315889;3750;124700;3;C1;80;2020-05-29;2020-06-28;0,5;1000000;0;9164264283
2020-06-10;30696146396;1;124712;3;C3;80;2020-05-29;2020-06-28;0,6;8000000;0;9164264555
2020-06-10;30516024840;137;124982;3;C1;80;2020-06-10;2020-06-10;0,2;60000000;0;9164264576
2020-06-10;30595025024;207;124359;3;C3;80;2020-05-13;2020-06-11;0,6;5000000;0;9164264429
2020-06-10;30651549600;211;124785;3;C1;80;2020-06-03;2020-07-02;0,5;2000000;0;9164264297
2020-06-10;30654983565;224;124702;3;C1;80;2020-05-29;2020-06-28;0,5;4000000;0;9164264290
2020-06-10;30680747888;388;124966;3;C2;80;2020-06-10;2020-06-16;0,2151;8000000;0;9164264395
2020-06-10;30708297255;1105;124671;3;C3;80;2020-05-28;2020-06-28;0,6;6000000;0;9164264549
2020-06-10;30709965316;1676;124884;3;C1;80;2020-06-08;2020-06-18;0,5;1500000;0;9164264226
2020-06-10;30639938391;2091;124586;3;C1;80;2020-05-26;2020-06-24;0,5;4000000;0;9164264334
2020-06-10;30615947373;2208;124704;3;C1;80;2020-05-29;2020-06-28;0,5;2000000;0;9164264281
2020-06-10;30712372628;3377;124662;3;C3;80;2020-05-28;2020-06-28;0,6;5000000;0;9164264463
2020-06-11;30547721264;26;124974;3;C3;80;2020-06-10;2020-06-16;0,6;4000000;0;9164264524
2020-06-11;33621743789;40;124693;3;C3;80;2020-05-29;2020-06-28;0,6;30000000;0;9164264289
2020-06-11;30643839721;191;125024;3;C3;80;2020-06-11;2020-07-12;0,6;180000000;0;9164264610
2020-06-11;30649013450;248;124517;3;C3;80;2020-05-20;2020-06-18;0,6;1500000;0;9164264262
2020-06-11;30663260657;257;124365;3;C1;80;2020-05-13;2020-06-11;0,5;6000000;0;9164264426
2020-06-11;30685227440;300;124969;3;C2;80;2020-06-10;2020-06-11;0,2151;50000000;0;9164264230
2020-06-11;30691587777;348;124930;3;C2;80;2020-06-09;2020-06-15;0,315625;250000000;0;9164264238
2020-06-11;30707032533;517;124787;3;C1;80;2020-06-03;2020-07-02;0,5;2000000;0;9164264295
2020-06-11;30701027074;966;124430;3;C1;80;2020-05-15;2020-06-15;0,5;30000000;0;9164264516
2020-06-11;30694246369;1017;124669;3;C3;80;2020-05-28;2020-06-28;0,6;9000000;0;9164264551
2020-06-11;30664155873;1077;124853;3;C1;80;2020-06-05;2020-07-05;0,5;3000000;0;9164264304
2020-06-11;30708724668;1212;124984;3;C3;80;2020-06-10;2020-07-12;0,6;6000000;0;9164264607
2020-06-11;30709803804;1536;124925;3;C1;80;2020-06-09;2020-06-15;0,5;5000000;0;9164264371
2020-06-11;30502874353;1616;125010;3;C1;80;2020-06-11;2020-06-11;0,1975;200000000;0;9164264608
